company_name,db_listing_date,db_category,match_source,nse_symbol,bse_script_code,matched_name,corroborated_by
Identical Brains Studios Limited,2024-12-26,SME,NSE_SME,IDENTICAL,,Identical Brains Studios Limited,listing_date
Purple United Sales Limited,2024-12-18,SME,NSE_SME,PURPLEUTED,,Purple United Sales Limited,listing_date
Supreme Facility Management Limited,2024-12-15,SME,NSE_SME,SFML,,Supreme Facility Management Limited,listing_date
Dhanlaxmi Crop Science Limited,2024-12-15,SME,NSE_SME,DHANLAXMI,,Dhanlaxmi Crop Science Limited,listing_date
Emerald Tyre Manufacturers Limited,2024-12-15,SME,NSE_SME,ETML,,Emerald Tyre Manufacturers Limited,listing_date
Ganesh Infraworld Limited,2024-12-06,SME,NSE_SME,GANESHIN,,Ganesh Infraworld Limited,listing_date
Agarwal Toughened Glass India Limited,2024-12-05,SME,NSE_SME,AGARWALTUF,,Agarwal Toughened Glass India Limited,listing_date
Apex Ecotech Limited,2024-12-04,SME,NSE_SME,APEXECO,,Apex Ecotech Limited,listing_date
Abha Power and Steel Limited,2024-12-04,SME,NSE_SME,ABHAPOWER,,Abha Power and Steel Limited,listing_date
Rajputana Biodiesel Limited,2024-12-03,SME,NSE_SME,RAJPUTANA,,Rajputana Biodiesel Limited,listing_date
C2C Advanced Systems Limited,2024-12-03,SME,NSE_SME,C2C,,C2C Advanced Systems Limited,listing_date
Lamosaic India Limited,2024-11-29,SME,NSE_SME,LAMOSAIC,,Lamosaic India Limited,listing_date
Onyx Biotec Limited,2024-11-22,SME,NSE_SME,ONYX,,Onyx Biotec Limited,listing_date
Neelam Linens and Garments (India) Limited,2024-11-15,SME,NSE_SME,NEELAM,,Neelam Linens and Garments (India) Limited,listing_date
Usha Financial Services Limited,2024-10-31,SME,NSE_SME,USHAFIN,,Usha Financial Services Limited,listing_date
OBSC Perfection Limited,2024-10-29,SME,NSE_SME,OBSCP,,OBSC Perfection Limited,listing_date
Danish Power Limited,2024-10-29,SME,NSE_SME,DANISH,,Danish Power Limited,listing_date
United Heat Transfer Limited,2024-10-29,SME,NSE_SME,UHTL,,United Heat Transfer Limited,listing_date
Premium Plast Limited,2024-10-28,SME,NSE_SME,PREMIUM,,Premium Plast Limited,listing_date
Freshara Agro Exports Limited,2024-10-24,SME,NSE_SME,FRESHARA,,Freshara Agro Exports Limited,listing_date
Lakshya Powertech Limited,2024-10-23,SME,NSE_SME,LAKSHYA,,Lakshya Powertech Limited,listing_date
Pranik Logistics Limited,2024-10-17,SME,NSE_SME,PRANIK,,Pranik Logistics Limited,listing_date
Paramount Dye Tec Limited,2024-10-08,SME,NSE_SME,PARAMOUNT,,Paramount Dye Tec Limited,listing_date
HVAX Technologies Limited,2024-10-07,SME,NSE_SME,HVAX,,HVAX Technologies Limited,listing_date
Saj Hotels Limited,2024-10-07,SME,NSE_SME,SAJHOTELS,,Saj Hotels Limited,listing_date
Forge Auto International Limited,2024-10-04,SME,NSE_SME,FORGEAUTO,,Forge Auto International Limited,listing_date
Divyadhan Recycling Industries Limited,2024-10-04,SME,NSE_SME,DIVYADHAN,,Divyadhan Recycling Industries Limited,listing_date
TechEra Engineering LImited,2024-10-03,SME,NSE_SME,TECHERA,,TechEra Engineering (India) Limited,listing_date
Unilex Colours and Chemicals Limited,2024-10-03,SME,NSE_SME,UNILEX,,Unilex Colours and Chemicals Limited,listing_date
Thinking Hats Entertainment Solutions Limited,2024-10-03,SME,NSE_SME,THESL,,Thinking Hats Entertainment Solutions Limited,listing_date
WOL 3D India Limited,2024-09-30,SME,NSE_SME,WOL3D,,Wol 3D India Limited,listing_date
Rappid Valves (India) Limited,2024-09-30,SME,NSE_SME,RAPPID,,Rappid Valves (India) Limited,listing_date
SD Retail Limited,2024-09-27,SME,NSE_SME,SDREAMS,,S D Retail Limited,listing_date
Avi Ansh Textile Limited,2024-09-27,SME,NSE_SME,AVIANSH,,Avi Ansh Textile Limited,listing_date
Phoenix Overseas Limited,2024-09-27,SME,NSE_SME,PHOGLOBAL,,Phoenix Overseas Limited,listing_date
